"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,,,,,,
"World Fertility Data 2012
AGE-SPECIFIC FERTILITY RATES, TOTAL FERTILITY AND MEAN AGE AT CHILDBEARING
Chad,148,Around 2005,2003,2002-2005,6.34,187,295,275,263,163,73,13,28.3,Survey,DHS,Chad 2004 Demographic and Health Survey,,,,,
Chile,152,Around 1970,1970,,3.57,72,184,186,138,84,43,7,28.4,Registration,UNSD,,,,,,
Chile,152,Around 1985,1985,,2.33,56,131,129,87,48,15,1,27.4,Registration,UNSD,,,,,,
Chile,152,Around 1995,1995,,2.23,63,118,113,88,49,14,1,27.4,Registration,UNSD,,,,,,
Chile,152,Around 2005,2005,,1.82,49,83,92,81,46,13,1,28.0,Registration,UNSD,,,,,,
Chile,152,Latest,2009,,1.93,54,85,95,85,51,14,1,28.0,Registration,UNSD,,,,,,
China,156,Around 1970,1970,,5.74,39,278,308,252,179,83,10,29.9,Survey,National statistics,China 1982 National One-per-Thousand-Population Sample Survey on Fertility,,,,,
China,156,Around 1985,1986,,2.36,19,208,156,63,19,6,1,26.2,Survey,National statistics,China 1986 Annual Population Change Survey (1‰ Survey),,,,,
China,156,Around 1995,1994,,1.86,5,161,144,47,10,4,1,26.3,Survey,National statistics,China 1994 Annual Population Change Survey (1‰ Survey),,,,,
China,156,Around 2005,2005,2004-2005,1.33,6,114,92,40,11,2,1,26.5,Survey,National statistics,China 2005 One-percent Sample Survey,,,,,
China,156,Latest,2008,2007-2008,1.47,5,95,101,54,22,10,7,28.4,Survey,National statistics,China 2008 Annual Population Change Survey (1‰ Survey),,,,,
"China, Hong Kong SAR",344,Around 1970,1970,,3.31,18,135,230,159,86,30,4,29.5,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Around 1985,1985,,1.47,8,57,118,79,27,5,0,28.8,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Around 1995,1995,,1.16,6,38,77,76,30,5,0,29.6,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Around 2005,2005,,0.98,4,34,64,62,28,5,0,29.8,Registration,UNSD,,,,,,
"China, Hong Kong SAR",344,Latest,2011,,1.20,3,27,64,87,52,9,0,31.3,Registration,National statistics,,Data pertain to resident population only.,,,,
"China, Macao SAR",446,Around 1970,1970,,2.04,3,68,130,90,78,35,4,31.1,Registration,UNSD,,,,,,
"China, Macao SAR",446,Around 1985,1985,,2.37,8,105,188,132,35,6,1,28.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
"China, Macao SAR",446,Around 1995,1995,,1.36,8,56,98,75,28,6,0,29.0,Registration,UNSD,,,,,,
"China, Macao SAR",446,Around 2005,2005,,0.91,3,28,58,61,28,4,0,30.1,Registration,UNSD,,,,,,
"China, Macao SAR",446,Latest,2010,,1.06,3,35,74,63,31,6,0,29.9,Registration,UNSD,,,,,,
Colombia,170,Around 1970,1973,1972-1973,4.54,65,207,213,183,145,72,24,30.0,Census,National statistics,,,,,,
Colombia,170,Around 1985,1985,1983-1986,3.20,73,177,160,118,77,28,7,28.0,Survey,DHS,Colombia 1986 Demographic and Health Survey,,,,,
Colombia,170,Around 1995,1993,1992-1995,2.96,89,173,148,101,56,24,2,27.0,Survey,DHS,Colombia 1995 Demographic and Health Survey,,,,,
Colombia,170,Around 2005,2003,2002-2005,2.39,90,132,116,77,46,15,2,26.6,Survey,DHS,Colombia 2005 Demographic and Health Survey,,,,,
Colombia,170,Latest,2008,2007-2010,2.14,84,122,100,70,38,12,2,26.3,Survey,DHS,Colombia 2010 Demographic and Health Survey,,,,,
Comoros,174,Around 1970,1966,,5.90,107,269,274,228,169,75,59,29.8,Census,National statistics,,,,,,
Comoros,174,Around 1985,1980,1979-1980,5.55,88,249,268,225,148,71,63,30.0,Census,National statistics,,,,,,
Comoros,174,Around 1995,1994,1993-1996,4.66,59,184,223,226,147,67,25,30.3,Survey,DHS,Comoros 1996 Demographic and Health Survey,,,,,
Comoros,174,Latest,2003,,5.30,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Congo,178,Around 1970,1974,1973-1974,6.99,156,305,305,255,203,122,52,29.7,Census,National statistics,,,,,,
Congo,178,Around 1985,1984,,5.94,138,250,267,240,176,89,28,29.4,Census,National statistics,,,,,,
Congo,178,Around 2005,2004,2002-2005,4.80,129,221,200,185,134,69,21,28.9,Survey,DHS,Congo 2005 Demographic and Health Survey,,,,,
Congo,178,Latest,2010,2009-2012,5.11,147,222,232,205,145,61,9,28.5,Survey,DHS,Congo 2011-2012 Demographic and Health Survey,,,Preliminary data.,,
Cook Islands,184,Around 1970,1971,,6.20,103,352,305,247,146,83,3,28.5,Registration,UNSD,,,,,,
Cook Islands,184,Around 1985,1982,,3.66,81,195,202,115,101,38,0,28.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cook Islands,184,Around 1995,1996,,3.69,82,205,185,134,96,30,6,28.0,Census,National statistics,,,,Adjusted estimate.,,
Cook Islands,184,Latest,2001,,3.08,47,161,153,122,94,40,..,28.9,Census,National statistics,,,,,,
Costa Rica,188,Around 1970,1970,,4.92,103,237,231,188,144,69,12,29.0,Registration,UNSD,,,,,,
Costa Rica,188,Around 1985,1984,,3.52,94,192,182,131,77,27,0,27.4,Registration,UNSD,,,,,,
Costa Rica,188,Around 1995,1995,,2.71,85,149,134,98,56,18,2,27.0,Registration,UNSD,,,,,,
Costa Rica,188,Around 2005,2004,,2.00,67,112,99,73,37,10,1,26.7,Registration,UNSD,,,,,,
Costa Rica,188,Latest,2009,,1.90,67,105,95,67,36,9,1,26.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Côte d'Ivoire,384,..,1978,1975-1981,7.36,216,313,300,248,203,132,60,29.4,Survey,WFS,Côte d'Ivoire 1980-1981 World Fertility Survey,,,,,
Côte d'Ivoire,384,Around 1985,1988,1987-1988,6.76,193,289,289,252,193,98,38,29.0,Census,National statistics,,,,,,
Côte d'Ivoire,384,..,1993,1991-1994,5.30,140,232,231,210,149,73,25,29.0,Survey,DHS,Cote d'Ivoire 1994 Demographic and Health Survey,,,,,
Côte d'Ivoire,384,Around 1995,1997,1995-1998,5.18,127,222,223,199,149,79,37,29.5,Survey,DHS,Côte d'Ivoire 1998-1999 Demographic and Health Survey,,,,,
Côte d'Ivoire,384,Latest,2010,2009-2012,4.96,128,220,224,179,140,77,25,29.1,Survey,DHS-MICS,Côte d'Ivoire 2011-2012 Demographic and Health Survey,,,,,
Croatia,191,Around 1970,1970,,1.80,47,134,97,53,22,6,1,26.0,Registration,UNSD,,,,,,
Croatia,191,Around 1985,1985,,1.81,38,149,109,48,17,3,0,25.7,Registration,National statistics,,,,,,
Croatia,191,Around 1995,1995,,1.48,18,95,101,57,21,4,0,27.2,Registration,UNSD,,,,,,
Croatia,191,Around 2005,2005,,1.41,14,66,98,73,28,5,0,28.4,Registration,UNSD,,,,,,
Croatia,191,Latest,2010,,1.47,12,55,100,85,36,6,0,29.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cuba,192,Around 1970,1970,,3.69,128,228,165,117,74,26,0,26.5,Registration,UNSD,,,,,,
Cuba,192,Around 1985,1985,,1.89,91,124,93,47,18,4,1,24.7,Registration,UNSD,,,,,,
Cuba,192,Around 1995,1995,,1.48,59,91,79,47,17,2,0,25.5,Registration,UNSD,,,,,,
Cuba,192,Around 2005,2005,,1.36,40,85,74,49,20,4,0,26.3,Registration,UNSD,,,,,,
Cuba,192,Latest,2010,,1.68,52,107,94,55,24,5,0,26.1,Registration,UNSD,,,,,,
Cyprus,196,Around 1970,1970,,2.74,21,150,181,113,60,19,4,28.5,Registration,UNSD,,,,,,
Cyprus,196,Around 1985,1985,,2.38,34,159,154,91,33,5,0,26.9,Registration,UNSD,,,,,,
Cyprus,196,Around 1995,1995,,2.03,17,114,136,91,40,8,1,28.1,Registration,Eurostat,,Data pertain to government-controlled areas.,,,,
Cyprus,196,Around 2005,2005,,1.42,7,47,103,86,34,6,1,29.6,Registration,Eurostat,,Data pertain to government-controlled areas.,,,,
Cyprus,196,Latest,2008,,1.47,7,41,97,96,44,8,1,30.2,Registration,Eurostat,,Data pertain to government-controlled areas.,,,,
Czech Republic,203,Around 1970,1970,,2.07,46,180,114,52,19,4,0,25.5,Registration,National statistics,,,,,,
Czech Republic,203,Around 1985,1985,,2.06,53,193,109,42,13,2,0,24.8,Registration,UNSD,,,,,,
Czech Republic,203,Around 1995,1995,,1.27,25,100,81,35,11,2,0,25.7,Registration,UNSD,,,,,,
Czech Republic,203,Around 2005,2005,,1.29,11,48,99,74,23,4,0,28.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Czech Republic,203,Latest,2010,,1.47,11,46,96,91,43,6,0,29.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Democratic People's Republic of Korea,408,Around 1970,1971,,6.30,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Democratic People's Republic of Korea,408,Around 1985,1985,,2.60,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Democratic People's Republic of Korea,408,Around 1995,1994,1993-1994,2.19,0,49,265,101,19,3,1,28.7,Census,National statistics,,,,,,
Democratic People's Republic of Korea,408,Around 2005,2003,,2.03,..,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
Democratic People's Republic of Korea,408,Latest,2008,,2.01,1,59,210,110,18,3,0,28.7,Census,National statistics,,,,,,
Democratic Republic of the Congo,180,Around 1970,1973,1971-1976,6.22,161,301,289,248,164,68,14,28.4,Survey,National statistics,Democratic Republic of the Congo 1975-1976 EDOZA,Data pertain to the west of the country.,,,,
Democratic Republic of the Congo,180,Around 1985,1984,,6.70,94,277,312,291,209,118,39,30.3,Census,National statistics,,,,,,
Democratic Republic of the Congo,180,Around 1995,1994,,7.26,125,309,334,274,221,140,50,30.2,Survey,MICS,Democratic Republic of the Congo 1995 Multiple Indicator Cluster Survey,,,,,
Democratic Republic of the Congo,180,Around 2005,2001,2000-2001,7.07,117,271,342,302,227,122,33,30.1,Survey,MICS,Democratic Republic of the Congo 2001 Multiple Indicator Cluster Survey,,,,,
Democratic Republic of the Congo,180,Latest,2005,2004-2007,6.29,124,260,271,270,201,95,37,29.9,Survey,DHS,Democratic Republic of the Congo 2007 Demographic and Health Survey,,,,,
Denmark,208,Around 1970,1970,,1.96,33,133,130,66,25,5,0,26.7,Registration,UNSD,,,,,,
Denmark,208,Around 1985,1985,,1.44,10,76,118,64,18,3,0,27.7,Registration,UNSD,,,,,,
Denmark,208,Around 1995,1995,,1.82,9,62,140,109,38,5,0,29.2,Registration,UNSD,,,,,,
Denmark,208,Around 2005,2005,,1.80,6,44,126,127,49,8,0,30.2,Registration,UNSD,,,,,,
Denmark,208,Latest,2010,,1.87,5,43,123,134,59,10,0,30.6,Registration,UNSD,,,,,,
Djibouti,262,..,1991,,5.97,31,155,270,317,257,121,44,32.3,Survey,National statistics,Djibouti 1991 Intercensal Survey,,,,,
Djibouti,262,Around 1995,1995,1992-1997,5.08,33,149,242,270,207,115,..,31.5,Survey,PAPFAM,Djibouti 2002 Family Health Survey,,,Data pertain to the period of 5 to 9 years before the survey.,,
Djibouti,262,Latest,2000,1997-2002,4.22,27,114,176,211,167,97,53,32.7,Survey,PAPFAM,Djibouti 2002 Family Health Survey,,,,,
Dominica,212,Around 1970,1969,,5.48,154,283,246,157,169,68,19,28.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 1985,1985,,2.94,96,158,152,106,57,16,2,26.9,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 1995,1995,,2.67,54,166,114,117,62,19,2,27.8,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominica,212,Around 2005,2003,,2.10,48,111,75,89,70,25,1,28.7,Registration,CARICOM,,,,,,
Dominica,212,Latest,2006,,2.27,48,75,115,128,57,28,2,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Dominican Republic,214,Around 1970,1969,,6.20,76,265,296,269,203,92,40,30.3,Census,National statistics,,,,,,
Dominican Republic,214,..,1990,1988-1991,3.34,88,210,175,116,57,12,11,26.9,Survey,DHS,Dominican Republic 1991 Demographic and Health Survey,,,,,
Dominican Republic,214,Around 1995,1995,1993-1996,3.16,112,199,157,111,39,14,1,26.0,Survey,DHS,Dominican Republic 1996 Demographic and Health Survey,,,,,
Dominican Republic,214,Around 2005,2001,1999-2002,2.99,116,190,145,97,41,8,1,25.7,Survey,DHS,Dominican Republic 2002 Demographic and Health Survey,,,,,
Dominican Republic,214,Latest,2005,2004-2007,2.44,92,152,132,69,33,8,1,25.7,Survey,DHS,Dominican Republic 2007 Demographic and Health Survey,,,,,
Ecuador,218,Around 1970,1970,,5.90,83,274,285,225,199,89,25,29.8,Registration,UNSD,,,,,,
Ecuador,218,Around 1985,1985,1984-1987,4.24,89,214,208,157,99,59,22,28.8,Survey,DHS,Ecuador 1987 Demographic and Health Survey,,,,,
Ecuador,218,Around 1995,1997,1994-1999,3.29,89,172,155,119,76,37,10,28.0,Survey,RHS,Ecuador 1999 Encuesta Demográfica y de Salud Materna e Infantil,,,,,
Ecuador,218,Around 2005,2001,,2.84,92,151,132,103,63,23,5,27.4,Census,National statistics,,,,,,
Ecuador,218,Latest,2003,2001-2004,3.18,100,174,143,121,68,26,3,27.3,Survey,RHS,Ecuador 2004 Encuesta Demográfica y de Salud Materna e Infantil,,,,,
Egypt,818,..,1978,1975-1980,5.26,99,256,285,217,130,48,16,28.6,Survey,WFS,Egypt 1980 World Fertility Survey,,,,,
Egypt,818,Around 1985,1987,1985-1988,4.54,75,227,247,188,121,43,6,28.6,Survey,DHS,Egypt 1988 Demographic and Health Survey,,,,,
Egypt,818,Around 1995,1994,1992-1995,3.63,61,200,210,140,81,27,7,28.1,Survey,DHS,Egypt 1995 Demographic and Health Survey,,,,,
Egypt,818,Around 2005,2003,2002-2005,3.13,48,175,194,125,63,19,2,27.9,Survey,DHS,Egypt 2005 Demographic and Health Survey,,,,,
Egypt,818,Latest,2006,2005-2008,3.02,50,169,185,122,59,17,2,27.7,Survey,DHS,Egypt 2008 Demographic and Health Survey,,,,,
El Salvador,222,Around 1970,1971,,6.13,148,301,281,233,173,72,19,28.6,Registration,UNSD,,,,,,
El Salvador,222,Around 1985,1983,1982-1985,4.22,134,240,198,134,92,41,4,27.2,Survey,DHS,El Salvador 1985 Demographic and Health Survey,,,,,
El Salvador,222,Around 1995,1996,1993-1998,3.59,116,211,167,118,68,29,8,27.0,Survey,RHS,El Salvador 1998 Encuesta Nacional de Salud Familiar,,,,,
El Salvador,222,Around 2005,2001,2000-2003,2.81,102,156,136,82,60,25,1,26.8,Survey,RHS,El Salvador 2002-2003 Encuesta Nacional de Salud Familiar,,,,,
El Salvador,222,Latest,2007,2005-2008,2.46,89,134,117,81,51,18,2,26.8,Survey,RHS,El Salvador 2008 Encuesta Nacional de Salud Familiar,,,,,
Equatorial Guinea,226,..,1965,,4.91,..,..,..,..,..,..,..,..,Estimate,National statistics,,,,,,
Equatorial Guinea,226,Around 1985,1983,1982-1983,5.96,185,298,274,198,143,59,34,28.0,Census,National statistics,,,,Adjusted estimate.,,
Equatorial Guinea,226,Around 1995,1994,,5.51,113,224,233,220,170,93,48,30.1,Census,National statistics,,,,,,
Equatorial Guinea,226,Around 2005,2000,1999-2000,5.92,196,256,252,208,187,54,31,28.4,Survey,MICS,Equatorial Guinea 2000 Multiple Indicator Cluster Survey,,,,,
Equatorial Guinea,226,Latest,2001,,5.61,128,260,254,164,155,109,52,29.7,Census,National statistics,,,,,,
Eritrea,232,Around 1995,1994,1992-1995,6.10,125,245,269,245,189,110,37,30.0,Survey,DHS,Eritrea 1995 Demographic and Health Survey,,,,,
Eritrea,232,Latest,2000,1999-2002,4.78,77,185,204,188,167,88,46,30.8,Survey,DHS,Eritrea 2002 Demographic and Health Survey,,,,,
Estonia,233,Around 1970,1970,,2.16,33,159,131,73,30,7,0,26.7,Registration,Eurostat,,,,,,
Estonia,233,Around 1985,1986,,2.18,42,180,121,61,26,5,0,25.9,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Around 1995,1995,,1.32,36,101,74,35,14,3,0,25.6,Registration,UNSD,,,,,,
Estonia,233,Around 2005,2005,,1.50,21,72,97,71,33,6,0,28.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Estonia,233,Latest,2010,,1.64,18,60,105,88,46,10,0,29.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Ethiopia,231,Around 1970,1969,,5.75,163,287,264,188,150,64,34,28.4,Survey,National statistics,Ethiopia 1968-1971 National Sample Survey - Rural,,,,,
Ethiopia,231,Around 1985,1981,,6.83,115,273,299,264,225,124,65,30.6,Survey,National statistics,Ethiopia 1981 Demographic Survey,Excluding Eritrea and Tigray.,,,,
Ethiopia,231,Around 1995,1999,1997-2000,5.52,100,235,251,243,168,89,19,29.7,Survey,DHS,Ethiopia 2000 Demographic and Health Survey,,,,,
Ethiopia,231,Around 2005,2003,2002-2005,5.41,104,228,241,231,160,84,34,29.8,Survey,DHS,Ethiopia 2005 Demographic and Health Survey,,,,,
Ethiopia,231,Latest,2010,2008-2011,4.80,79,207,237,192,150,68,28,29.8,Survey,DHS,Ethiopia 2011 Demographic and Health Survey,,,,,
Faroe Islands,234,Around 1970,1970,,3.42,75,211,168,122,78,27,3,27.6,Registration,UNSD,,,,,,
Faroe Islands,234,Around 1985,1985,,2.28,34,118,156,93,46,8,0,27.8,Registration,UNSD,,,,,,
Faroe Islands,234,Around 1995,1995,,2.42,22,112,171,124,47,8,2,28.4,Registration,National statistics,,,,,,
Faroe Islands,234,Around 2005,2005,,2.62,13,95,190,138,74,12,1,29.5,Registration,National statistics,,,,,,
Faroe Islands,234,Latest,2007,,2.53,10,83,161,154,83,14,0,30.0,Registration,UNSD,,,,,,
Fiji,242,Around 1970,1972,1969-1974,4.22,61,247,225,165,92,45,10,28.4,Survey,WFS,Fiji 1974 World Fertility Survey,,,,,
Fiji,242,Around 1985,1985,,3.14,59,224,176,99,51,17,3,26.9,Registration,UNSD,,,,,,
Fiji,242,Around 1995,1995,,2.95,52,203,173,100,50,12,..,26.9,Registration,National statistics,,,,,,
Fiji,242,Around 2005,2004,,2.61,31,148,156,111,58,16,2,28.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Fiji,242,Latest,2004,,2.61,31,148,156,111,58,16,2,28.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Finland,246,Around 1970,1970,,1.82,33,120,105,65,31,9,1,27.1,Registration,UNSD,,,,,,
Finland,246,Around 1985,1985,,1.65,14,77,122,78,33,6,0,28.4,Registration,UNSD,,,,,,
Finland,246,Around 1995,1995,,1.81,10,66,130,105,42,8,0,29.3,Registration,UNSD,,,,,,
Finland,246,Around 2005,2005,,1.80,10,57,116,113,51,11,1,29.9,Registration,UNSD,,,,,,
Finland,246,Latest,2010,,1.88,8,57,117,121,59,12,1,30.2,Registration,UNSD,,,,,,
France,250,Around 1970,1970,,2.47,26,157,157,93,45,14,1,27.7,Registration,UNSD,,,,,,
France,250,Around 1985,1985,,1.83,12,97,143,79,30,6,0,28.0,Registration,UNSD,,,,,,
France,250,Around 1995,1995,,1.70,7,55,130,100,40,8,0,29.5,Registration,UNSD,,,,,,
France,250,Around 2005,2005,,1.91,8,55,129,121,56,13,1,30.2,Registration,UNSD,,Data exclude overseas departments.,Age classification based on year of birth of mother rather than the exact age of mother at birth of child.,,,
France,250,Latest,2009,,2.07,12,63,138,128,60,12,1,29.9,Registration,UNSD,,Data include overseas departments.,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
French Guiana,254,Around 1970,1970,,5.02,138,309,204,184,114,52,4,27.5,Registration,UNSD,,,,,,
French Guiana,254,Around 1985,1985,,3.38,84,197,179,124,68,22,3,27.3,Registration,UNSD,,,,,,
French Guiana,254,Around 1995,1995,,3.70,64,216,187,150,81,21,,27.8,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
French Guiana,254,Around 2005,2003,,4.00,104,202,237,144,85,27,2,27.5,Registration,UNSD,,,,,,
French Guiana,254,Latest,2007,,3.91,84,177,212,167,99,40,4,28.5,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
French Polynesia,258,Around 1970,1968,,6.68,109,379,353,249,156,79,11,28.4,Registration,UNSD,,,,,,
French Polynesia,258,Around 1985,1985,,3.81,99,244,193,125,73,26,2,26.9,Registration,National statistics,,,,,,
French Polynesia,258,Around 1995,1995,,2.75,62,157,154,112,50,15,1,27.3,Registration,National statistics,,,,,,
French Polynesia,258,Around 2005,2005,,2.16,52,109,115,92,49,14,1,27.8,Registration,National statistics,,,,,,
French Polynesia,258,Latest,2010,,2.13,41,103,114,90,58,19,1,28.5,Registration,National statistics,,,,,,
Gabon,266,Around 1970,1970,,4.50,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Gabon,266,Around 1995,1993,,5.17,160,236,225,198,135,60,20,28.3,Census,National statistics,,,,,,
Gabon,266,Latest,1999,1997-2000,4.22,142,196,177,172,100,48,8,27.9,Survey,DHS,Gabon 2000 Demographic and Health Survey,,,,,
Gambia,270,Around 1970,1973,,6.35,200,300,290,210,160,70,40,28.3,Census,National statistics,,,,,,
Gambia,270,Around 1985,1988,1986-1990,5.95,167,270,238,228,130,78,,28.2,Survey,National statistics,Gambia 1990 Contraceptive Prevalence and Fertility Determinants Survey,,Data shown for women aged 40 to 44 pertain to women aged 40 to 49.,,,
Gambia,270,Around 1995,1993,,6.04,167,272,276,221,159,75,38,28.8,Census,National statistics,,,,,,
Gambia,270,Around 2005,2000,1999-2000,5.30,104,225,234,194,166,72,63,30.2,Survey,MICS,Gambia 2000 Multiple Indicator Cluster Survey,,,,,
Gambia,270,Latest,2010,2009-2010,5.80,118,..,..,..,..,..,..,..,Survey,MICS ,Gambia 2010 Multiple Indicator Cluster Survey,,,,,
Georgia,268,Around 1970,1970,,2.68,36,190,155,94,46,12,2,27.2,Registration,Eurostat,,,,,,
Georgia,268,Around 1985,1985,,2.26,49,184,125,63,26,5,1,25.9,Registration,National statistics,,,,,,
Georgia,268,Around 1995,1995,,1.54,64,113,66,42,17,4,1,25.0,Registration,National statistics,,,,,,
Georgia,268,Around 2005,2005,,1.39,39,97,75,44,19,4,0,26.0,Registration,National statistics,,,,,,
Georgia,268,Latest,2011,,1.69,43,112,95,57,25,6,0,26.4,Registration,National statistics,,,,,,
Germany,276,Around 1970,1970,,2.02,46,138,107,72,36,9,1,26.8,Registration,UNSD,,,,,,
Germany,276,Around 1985,1985,,1.39,16,80,102,57,20,3,0,27.4,Registration,UNSD,,,,,,
Germany,276,Around 1995,1995,,1.25,10,52,85,71,27,4,0,28.9,Registration,UNSD,,,,,,
Germany,276,Around 2005,2005,,1.33,10,48,83,84,36,6,0,29.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Germany,276,Latest,2010,,1.37,9,38,81,90,47,8,0,30.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Ghana,288,Around 1970,1968,1968-1969,7.04,160,314,308,275,193,107,50,29.5,Survey,National statistics,Ghana 1968-1969 National Demographic Sample Survey,,,,,
Ghana,288,Around 1985,1986,1985-1988,6.40,125,260,280,249,189,117,61,30.3,Survey,DHS,Ghana 1988 Demographic and Health Survey,,,,,
Ghana,288,Around 1995,1997,1995-1998,4.43,88,197,203,177,136,74,11,29.4,Survey,DHS,Ghana 1998 Demographic and Health Survey,,,,,
Ghana,288,Around 2005,2002,2000-2003,4.44,74,176,210,182,141,70,36,30.3,Survey,DHS,Ghana 2003 Demographic and Health Survey,,,,,
Ghana,288,Latest,2007,2005-2008,4.03,66,176,206,173,118,59,8,29.4,Survey,DHS,Ghana 2008 Demographic and Health Survey,,,,,
Gibraltar,292,Around 1970,1970,,2.95,59,208,185,91,33,12,0,26.4,Registration,UNSD,,,,,,
Gibraltar,292,Around 1985,1980,,3.10,60,233,196,82,38,11,0,26.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gibraltar,292,Around 1995,1997,,2.29,21,106,159,116,50,4,1,28.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gibraltar,292,Around 2005,2002,,2.04,27,67,137,123,44,10,0,29.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Gibraltar,292,Latest,2002,,2.04,27,67,137,123,44,10,0,29.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 1970,1970,,2.43,37,146,155,95,43,9,1,27.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Greece,300,Around 1985,1985,,1.68,36,118,102,54,19,4,0,26.3,Registration,UNSD,,,,,,
Greece,300,Around 1995,1995,,1.32,13,63,97,63,24,4,0,28.2,Registration,UNSD,,,,,,
Greece,300,Around 2005,2005,,1.34,10,42,83,85,39,7,1,29.8,Registration,UNSD,,,,,,
Greece,300,Latest,2009,,1.52,12,46,86,99,50,10,1,30.2,Registration,UNSD,,,,,,
Greenland,304,Around 1970,1970,,3.47,114,205,164,105,68,36,3,27.0,Registration,UNSD,,,,,,
Greenland,304,Around 1985,1985,,2.23,75,130,114,84,33,9,2,26.4,Registration,UNSD,,,,,,
Greenland,304,Around 1995,1995,,2.54,72,160,135,92,37,11,0,26.5,Registration,National statistics,,,,,,
Greenland,304,Around 2005,2005,,2.34,66,147,118,90,38,7,1,26.6,Registration,UNSD,,,,,,
Greenland,304,Latest,2011,,2.07,41,104,117,98,49,5,0,27.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 1970,1969,,4.64,126,247,222,172,112,42,5,27.8,Registration,National statistics,,,,,,
Grenada,308,Around 1985,1985,,3.54,115,174,178,127,78,32,5,27.5,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Grenada,308,Around 1995,1997,,3.00,71,134,156,129,76,35,0,28.4,Registration,UNSD,,,,,,
Grenada,308,Latest,2000,,2.49,53,107,133,114,64,27,1,28.6,Registration,UNSD,,,,,,
Guadeloupe,312,Around 1970,1970,,4.58,65,197,232,209,139,64,8,29.6,Registration,UNSD,,,,,,
Guadeloupe,312,Around 1985,1985,,2.58,36,122,170,111,55,19,2,28.4,Registration,UNSD,,,,,,
